Área;Quartos;Banheiros;Endereço;Vagas de Garagem;Condomínio;IPTU;Preço de Venda
130;3;4;Apartamento para Venda, Teresina / PI, bairro Fátima, 3 dormitórios, 3 suítes, 4 banheiros, 2 vagas de garagem, área total 130,54 m²;2;None;None;1150000;
276;3;1;Apartamento para Venda, Teresina / PI, bairro Fátima, 3 dormitórios, 3 suítes, 1 banheiro, 2 vagas de garagem, área total 276,30 m²;2;None;None;2150000;
150;3;3;Apartamento para Venda, Teresina / PI, bairro ILHOTAS, 3 dormitórios, 2 suítes, 3 banheiros, 2 vagas de garagem, mobiliado, área total 150,00 m², área construída 150,00 m², área útil 150,00 m²;2;950;None;1200000;
320;3;5;Apartamento para Venda, Teresina / PI, bairro Fátima, 3 dormitórios, 3 suítes, 5 banheiros, 5 vagas de garagem, área total 320,00 m², área útil 320,00 m²;5;None;None;2900000;
192;3;3;Apartamento para Venda, Teresina / PI, bairro Cabral, 3 dormitórios, 1 suíte, 3 banheiros, 3 vagas de garagem, área total 192,00 m², área útil 192,00 m²;3;None;None;1200000;
320;3;2;Apartamento para Venda, Teresina / PI, bairro JOQUEI, 3 dormitórios, 3 suítes, 2 banheiros, 5 vagas de garagem, área total 320,00 m²;5;None;None;2900000;
None;None;None;Apartamento para Venda, Teresina / PI, bairro JOQUEI;None;None;None;Consulte;
90;3;3;Apartamento para Venda, Teresina / PI, bairro JOQUEI, 3 dormitórios, 2 suítes, 3 banheiros, 1 vaga de garagem, mobiliado, área total 90,00 m², área útil 90,00 m²;1;900;None;350000;
None;3;None;Apartamento para Venda, Luís Correia / PI, bairro Coqueiro, 3 dormitórios;None;None;None;Consulte;
59;2;2;Apartamento para Venda, Teresina / PI, bairro Uruguai, 2 dormitórios, 1 suíte, 2 banheiros, 1 vaga de garagem, área total 59,90 m²;1;None;None;350000;
